Feature,Weight
onehot__bin__Hepatomegaly_0.0,0.1923422818407876
onehot__bin__Sex_1.0,0.11713820026119409
numerical__numerical__Albumin,0.09394302011583427
onehot__bin__Ascites_0.0,0.08485667762184988
onehot__bin__Spiders_0.0,0.07172925579276376
numerical__numerical__Age,0.02166136683851117
onehot__bin__Drug_0.0,0.020811585702389255
numerical__numerical__Platelets,-0.008647798355646068
onehot__bin__Drug_1.0,-0.020811585702389283
onehot__bin__Spiders_1.0,-0.07172925579276376
ordinal__ordinal__Edema,-0.08406312975378794
onehot__bin__Ascites_1.0,-0.08485667762184981
numerical__numerical__Alk_Phos,-0.10876408176252265
numerical__numerical__Tryglicerides,-0.11128617684367803
onehot__bin__Sex_0.0,-0.11713820026119409
numerical__numerical__Cholesterol,-0.11895277016931878
numerical__numerical__Prothrombin,-0.13079155217254482
numerical__numerical__SGOT,-0.15403950595696073
numerical__numerical__Bilirubin,-0.1854011169593393
onehot__bin__Hepatomegaly_1.0,-0.1923422818407876
ordinal__ordinal__Stage,-0.19893207283826264
numerical__numerical__Copper,-0.200409878406112
