Feature,Importance
numerical__Age,0.1355548132440391
numerical__Bilirubin,0.12955569923869067
numerical__Prothrombin,0.096235812029331
numerical__Platelets,0.0854840163286041
numerical__Alk_Phos,0.07611993002012508
numerical__SGOT,0.061781861300451796
bin__Hepatomegaly,0.05790445659851713
numerical__Copper,0.050548964652869524
numerical__Albumin,0.04949322816084501
numerical__Cholesterol,0.04863647416074253
bin__Drug,0.04588278942709041
numerical__Tryglicerides,0.04001871053163333
ordinal__Stage,0.037081880311898775
bin__Spiders,0.03478093437830015
ordinal__Edema,0.027396817014239464
bin__Sex,0.016287808073061353
bin__Ascites,0.007235804529560604
